分類,情境標題,問題描述,應用程式任務,提示／關鍵功能點,完整提示詞範例
智慧行銷 (AI for Marketing),多語系社群文案與圖文生成器,跨境電商需快速推廣產品至台、日、美市場，手動在地化與配圖耗時費力。,輸入產品資訊，一鍵生成多語系、多平台社群文案，並產出對應的圖片 Prompt。,1. 整合 Gemini 輸出 JSON 結構。2. 提供一鍵複製文案與 Imagen 3 提示詞按鈕。3. UI 採 Tab 頁面切換預覽不同語系與平台。,請為我建構一個「多語系社群文案與圖文生成器」的單網頁 Web App。1. **UI 設計**：採用現代感兩欄式設計，左側為產品資訊輸入區（含品名、特色、活動、目標受眾、平台選擇如 FB/IG/Threads、語系選擇如 中/日/英），右側為動態生成的文案預覽卡片。2. **核心功能**：點擊「生成」後，利用 JavaScript 模擬呼叫 API（先以精緻的預設 Mock Data 呈現），在右側生成 3 種不同語氣的文案。3. **圖文整合**：文案下方需自動產出適合 Imagen 3 的「AI 繪圖提示詞 (Image Prompt)」，並提供一鍵複製文案及圖片 Prompt 的按鈕。4. **技術細節**：使用單一 HTML 檔案，引入 Tailwind CSS 與 Lucide Icons，所有互動邏輯（Tab 切換、複製功能、加載動畫）需用原生 JS 寫好並可直接執行。
,廣告主旨 A/B 測試預測儀表板,行銷人無法預估電子報開信率，手動 A/B 測試時效性差、成本高。,輸入 3 個候選主旨，AI 預估開信率、分析情感傾向，並給出優化建議。,1. 角色設定為「數位行銷數據科學家」。2. 輸出「吸引力評分」與「受眾痛點契合度」。3. 網頁端以直觀的 CSS Bar 視覺化評分。,請為我建構一個「廣告主旨 A/B 測試與開信率預測儀表板」的 Web App。1. **UI 設計**：乾淨的行銷 SaaS 介面。左側可輸入 3 組候選的 Email 廣告主旨、目標產業、受眾年齡層。2. **核心功能**：點擊「預測分析」後，右側以圖表（用 CSS Bar 實現，不需依賴複雜圖表庫）呈現 3 組主旨的預估開信率（%）、情感溫度計（積極/中立/消極）與受眾痛點契合度。3. **優化功能**：AI 自動給出「為什麼這組好」的關鍵因素分析，並在下方提供 2 組「AI 推薦微調主旨」。4. **技術細節**：單一 HTML、內嵌 Tailwind CSS，必須具備完整的輸入驗證、點擊預測時的 Loading 骨架屏（Skeleton Screen）動畫。
,KOL 合作契合度 AI 評估助手,品牌篩選合作網紅時，常花費大把時間審查其過去言論、風格與潛在風險。,貼上 KOL 近期貼文，AI 自動分析其受眾契合度、風格定位，並產出合作大綱。,1. 輸出包含「PR 公關風險警告」欄位。2. 提煉 3 個「創意行銷切入點」。3. 提供一鍵生成合作企劃書草稿。,請為我建構一個「KOL 合作契合度 AI 評估與分析助手」網頁。1. **UI 設計**：專業品牌分析工具風格。提供文字輸入框讓使用者貼上網紅近期貼文、粉絲數據（追蹤數、互動率），並可選擇自家品牌定位（如：科技時尚、綠色永續）。2. **核心功能**：生成「KOL 契合度雷達圖評估（以精美 CSS/SVG 繪製）」、受眾重疊率預估、品牌公關安全指數（PR Risk）、以及 3 個「黃金合作切入點（Creative Hook）」。3. **產出物**：自動渲染出一份可一鍵複製的「合作意願邀請信（中文/英文草稿）」，語氣需誠懇且專業。4. **技術細節**：單一 HTML 檔案，包含極佳的視覺階層、點擊「開始分析」的倒數進度條，以及完全可點擊互動的範例數據展示。
,互動式心理測驗行銷產生器,互動心理測驗能帶來極高轉換率，但邏輯設計與文案撰寫極為繁瑣。,輸入行銷主題（例：夏日咖啡選品），AI 自動生成 5 題測驗與 4 種特質結果，並渲染成可玩的 UI。,1. 請 AI 輸出標準 JSON 測驗結構。2. 前端 JS 讀取 JSON 並實作動態切換題目。3. 自動生成「社群分享成果圖卡」文字。,請為我建構一個「互動式行銷心理測驗 Web App 產生器」。1. **UI 設計**：繽紛、年輕化的 C 端（消費者端）互動卡片 UI。左側為行銷主題設定（如：香氛選品、理財性格），右側為「即時測驗模擬器」。2. **核心功能**：在左側設定完後，右側模擬器能立刻讓用戶玩一場 4 題的選擇題測驗。測驗要有順暢的「下一題過渡動畫」。3. **測驗結果**：最後一題答完後，動態渲染出精美的「測驗結果卡片」（包含性格特質、代表色、推薦購買商品），並有「下載結果圖卡」與「重玩一次」按鈕。4. **技術細節**：單一 HTML，使用純 JS 管理測驗的 State（當前題目、分數累計），CSS 採用 Tailwind，並預載一組完整的「咖啡性格測驗」供人立刻體驗。
,在地化短影音腳本/分鏡助手,短影音前 3 秒是留存關鍵，外商或新創難以掌握在地社群流行梗。,輸入商品與受眾，生成符合台灣社群語感（如：迷因、流行語）的 15-30 秒腳本與分鏡。,1. 設定「台灣社群迷因與黑話專家」角色。2. 提供「前 3 秒 Hook」的 3 種不同風格選項。3. 包含畫面描述與音效搭配建議。,請為我建構一個「在地化短影音腳本與分鏡規劃助手」單網頁。1. **UI 設計**：雙欄版面。左側輸入商品資訊、目標短影音平台（TikTok/Reels/Shorts）、秒數（15s/30s）、期望風格（幽默、專業、開箱、台灣味）。2. **核心功能**：生成表格化的「分鏡腳本」：欄位包含「秒數、畫面描述、口白（包含台灣社群梗或黑話）、音效/BGM 建議、黃金前 3 秒留存 Hook 評分」。3. **腳本編輯**：生成的腳本可以直接在網頁上編輯修改，並提供「匯出成 Markdown/CSV」的功能。4. **技術細節**：使用單一 HTML、Tailwind CSS。內建豐富的 Mock Data，點擊生成時呈現逼真的打字機（Typewriter）效果。
研發與工程創新 (AI for Engineering),API 文件與 Mock Server 產生器,前後端開發進度不同步，前端開發常因等候 API 完成而嚴重停工。,輸入規格描述，自動產出 OpenAPI YAML，並生成可測試的 Mock Server JavaScript。,1. 左側顯示 YAML，右側動態產生 Mock Data 模擬。2. 提供「測試此 API」按鈕發送模擬 Request。3. 支援多種常見 Response 狀態碼。,請為我建構一個「API 規格書與互動式 Mock Server 測試器」的單網頁 Web App。1. **UI 設計**：深色模式（Dark Mode）為主的 IDE 風格。左側是 API 功能描述文字輸入區（如：會員註冊與驗證碼發送），右側分為「OpenAPI YAML 預覽」與「互動測試面板」兩個 Tabs。2. **核心功能**：點擊「產生 API」後，在左側渲染出符合標準的 YAML，右側「測試面板」則自動生成一個 Mock URL，讓用戶可以點擊「SEND REQUEST」並在網頁上動態看到 JSON 回傳格式。3. **進階互動**：測試面板中可下拉選擇 Status Code (如 200 OK, 400 Bad Request, 500 Server Error)，以動態展示不同的 Mock JSON 輸出。4. **技術細節**：單一 HTML、Tailwind CSS。不依賴外部後端，完全由前端 JS 模擬 API 請求與狀態切換，代碼區需有漂亮的語法高亮視覺。
,程式重構與單元測試產生器,遺留程式碼（Legacy Code）可讀性低，重構時容易缺乏單元測試保障。,貼上舊程式碼，AI 分析效能與安全性漏洞，並一鍵產出 Jest/PyTest 程式碼。,1. 使用 Markdown 對比 Before / After 差異。2. 自動重建 Edge Cases（邊界條件）與異常處理。3. 提示效能改進評估（如複雜度變化）。,請為我建構一個「Legacy Code 重構與 Jest/PyTest 產生器」網頁。1. **UI 設計**：左右對比的 Code Diff 視窗。左邊輸入舊程式碼，右邊展示重構後程式碼，下方展示自動生成的單元測試代碼。2. **核心功能**：點擊「分析重構」後，除了程式碼對比，還要輸出：(a) 效能改進報告 (b) 安全漏洞警告 (c) 測試覆蓋率預估（用 CSS 進度條表示）。3. **互動點**：提供 Tab 切換 Jest (JS) 與 PyTest (Python) 單元測試，且均有一鍵複製按鈕。4. **技術細節**：單一 HTML 檔案，引入 Tailwind CSS 與 Google Material Icons。預載一段高複雜度的 JavaScript 舊代碼作為 Demo。
,Agent 工作流可視化設計工具,開發 Multi-Agent 系統時，任務傳遞、狀態流轉與上下文管理極其複雜。,輸入業務流程（如退貨），AI 規劃 Agents 分工，並以 Mermaid 語法繪製流程。,1. 輸出 Mermaid.js 語法，網頁端即時渲染。2. 詳細定義各 Agent 節點的 State 與權限。3. 提供 Agent 溝通範例。,請為我建構一個「AI Multi-Agent 工作流設計與可視化工具」Web App。1. **UI 設計**：左側為 Agent 設定區（可定義 3 個 Agents 的角色、工具與分工描述），右側為「工作流流程圖」與「運行模擬日誌」。2. **核心功能**：引入 Mermaid.js 庫實現流程圖。點擊「繪製流程」後，在右側即時渲染出 Agent 任務流轉圖（如 User -> Router -> Coding Agent -> QA Agent）。3. **日誌模擬**：提供「模擬運行」按鈕，有色彩分明的「Agent 執行 Log（含 Input/Output）」像終端機一樣跑出來。4. **技術細節**：單一 HTML 檔案，整合 Mermaid.js 與 Tailwind CSS，流程圖在容器內自適應縮放，可點擊下載為 SVG。
,Smart Log 錯誤分析與 RAG 修復助手,生產環境出錯時 Log 數量巨大，手動排查關鍵 Error Stack 耗時耗力。,上傳/貼上錯誤 Log，AI 自動過濾雜訊、定位 Bug，並給出 RAG Debug 指引。,1. 視覺化標記 Error, Warning 等級。2. 輸出「原因猜測」與「修復 CLI 指令」。3. 模擬 RAG 檢索官方文件。,請為我建構一個「Smart Log 錯誤分析與知識庫調研助手」網頁。1. **UI 設計**：黑色 Terminal 風格的 Log 貼上區。點擊「一鍵診斷」後，下方滑出精美的「診斷報告卡片」。2. **核心功能**：(a) 錯誤等級分類標記（Error 亮紅、Warning 橘黃、Info 藍色）。(b) 提取最關鍵的 Exception Stack Trace 並用粗體標記。(c) 模擬 RAG 檢索，提供 3 條假想的「官方 FAQ/Github Issue 解決連結」與「建議修復指令」。3. **快速修復**：提供一行 CLI 修正指令（如：npm install ...）並提供複製按鈕。4. **技術細節**：單一 HTML、Tailwind CSS，利用純前端 JS 解析 Log 文字並高亮關鍵詞。內建一組常見的 Docker/Kubernetes 啟動失敗 Log 作為範例。
,SQL 效能優化與智慧索引推薦,慢查詢拖慢系統，複雜的 JOIN 讓工程師難以手動優化。,輸入 SQL 語句與 Schema，AI 推薦優化寫法，並給出 Index 欄位建議。,1. 輸出 Explain Plan 分析與效能前後對比。2. 解釋「為何推薦此索引」。3. 提供 DDL 指令一鍵複製。,請為我建構一個「SQL 語句優化與 Index 智慧推薦工具」Web App。1. **UI 設計**：簡約專業的 DBA 主題。上方輸入慢 SQL 與 Table Schema，下方展示優化建議。2. **核心功能**：(a) 效能診斷：指出可能導致 Full Table Scan 的致命寫法（如 LIKE '%xx%'）。(b) 優化 SQL 對比：提供改寫後的 SQL。(c) DDL 索引推薦：一鍵複製 CREATE INDEX。3. **預期效果**：速度儀表板模擬優化前後的查詢耗時對比（如 450ms -> 12ms）。4. **技術細節**：單一 HTML 檔案，Tailwind CSS。優化耗時對比以動畫加載。
